id,id_short,municipio,group,year,value
0203501001,01001,"Gineta, La",renta_media_por_persona,2016,8589
0203501002,01002,"Gineta, La",renta_media_por_persona,2016,9132
0203601001,01001,Golosalvo,renta_media_por_persona,2016,8139
0203706001,06001,Hellín,renta_media_por_persona,2016,7679
0203704001,04001,Hellín,renta_media_por_persona,2016,4813
0203704002,04002,Hellín,renta_media_por_persona,2016,7805
0203705003,05003,Hellín,renta_media_por_persona,2016,8044
0203705001,05001,Hellín,renta_media_por_persona,2016,7371
0203701004,01004,Hellín,renta_media_por_persona,2016,8223
0203701002,01002,Hellín,renta_media_por_persona,2016,6666
0203701003,01003,Hellín,renta_media_por_persona,2016,5687
0203701001,01001,Hellín,renta_media_por_persona,2016,6310
0203702001,02001,Hellín,renta_media_por_persona,2016,8359
0203702002,02002,Hellín,renta_media_por_persona,2016,7027
0203702003,02003,Hellín,renta_media_por_persona,2016,10214
0203702004,02004,Hellín,renta_media_por_persona,2016,10123
0203703005,03005,Hellín,renta_media_por_persona,2016,7970
0203703006,03006,Hellín,renta_media_por_persona,2016,8390
0203703007,03007,Hellín,renta_media_por_persona,2016,8126
0203703003,03003,Hellín,renta_media_por_persona,2016,8888
0203703004,03004,Hellín,renta_media_por_persona,2016,7726
0203703001,03001,Hellín,renta_media_por_persona,2016,9798
0203703002,03002,Hellín,renta_media_por_persona,2016,8828
0203801001,01001,"Herrera, La",renta_media_por_persona,2016,9245
0203901001,01001,Higueruela,renta_media_por_persona,2016,9100
0204001001,01001,Hoya-Gonzalo,renta_media_por_persona,2016,9869
0204101001,01001,Jorquera,renta_media_por_persona,2016,8324
0204201001,01001,Letur,renta_media_por_persona,2016,8309
0204301001,01001,Lezuza,renta_media_por_persona,2016,8090
0204401001,01001,Liétor,renta_media_por_persona,2016,8301
0204402001,02001,Liétor,renta_media_por_persona,2016,7731
0204501001,01001,Madrigueras,renta_media_por_persona,2016,8815
0204501002,01002,Madrigueras,renta_media_por_persona,2016,9315
0204502002,02002,Madrigueras,renta_media_por_persona,2016,8707
0204502001,02001,Madrigueras,renta_media_por_persona,2016,9561
0204601001,01001,Mahora,renta_media_por_persona,2016,8337
0204701001,01001,Masegoso,renta_media_por_persona,2016,13238
0204801001,01001,Minaya,renta_media_por_persona,2016,8013
0204901001,01001,Molinicos,renta_media_por_persona,2016,8813
0205001001,01001,Montalvos,renta_media_por_persona,2016,12555
0205101001,01001,Montealegre del Castillo,renta_media_por_persona,2016,8715
0205102001,02001,Montealegre del Castillo,renta_media_por_persona,2016,8276
0205201001,01001,Motilleja,renta_media_por_persona,2016,8850
0205302001,02001,Munera,renta_media_por_persona,2016,7228
0205303001,03001,Munera,renta_media_por_persona,2016,7919
0205301001,01001,Munera,renta_media_por_persona,2016,7220
0205401001,01001,Navas de Jorquera,renta_media_por_persona,2016,8193
0205501001,01001,Nerpio,renta_media_por_persona,2016,7224
0205601001,01001,Ontur,renta_media_por_persona,2016,7932
0205602001,02001,Ontur,renta_media_por_persona,2016,7548
0205701002,01002,Ossa de Montiel,renta_media_por_persona,2016,7753
0205701001,01001,Ossa de Montiel,renta_media_por_persona,2016,8006
