Atlas de Distribución de Renta de los Hogares
Gipuzkoa
Indicadores de renta media
Unidades: Euros
	Renta media por persona 	Renta media por hogar	
2006701015 Errenteria sección 01015	10684.0	25429.0	
2006701016 Errenteria sección 01016	10848.0	25638.0	
2006701017 Errenteria sección 01017	12243.0	28246.0	
2006701018 Errenteria sección 01018	14537.0	43091.0	
2006701019 Errenteria sección 01019	12601.0	31644.0	
2006701020 Errenteria sección 01020	13505.0	31028.0	
2006701022 Errenteria sección 01022	13156.0	31605.0	
2006701023 Errenteria sección 01023	12196.0	25081.0	
2006701024 Errenteria sección 01024	11475.0	28828.0	
2006701025 Errenteria sección 01025	12115.0	31803.0	
2006701026 Errenteria sección 01026	11656.0	29045.0	
2006701027 Errenteria sección 01027	11498.0	28498.0	
2006701028 Errenteria sección 01028	11179.0	26102.0	
2006701029 Errenteria sección 01029	11674.0	29833.0	
2006701030 Errenteria sección 01030	14776.0	36284.0	
2006701032 Errenteria sección 01032	10929.0	27358.0	
2006701034 Errenteria sección 01034	11992.0	28694.0	
2006701035 Errenteria sección 01035	14475.0	35459.0	
2006701036 Errenteria sección 01036	14308.0	39531.0	
20066 Errezil	12270.0	31350.0	
2006601 Errezil distrito 01	12270.0	31350.0	
2006601001 Errezil sección 01001	12270.0	31350.0	
20034 Eskoriatza	16128.0	38439.0	
2003401 Eskoriatza distrito 01	16128.0	38439.0	
2003401001 Eskoriatza sección 01001	15741.0	37350.0	
2003401002 Eskoriatza sección 01002	16516.0	39539.0	
20035 Ezkio-Itsaso	17387.0	42595.0	
2003501 Ezkio-Itsaso distrito 01	17387.0	42595.0	
2003501001 Ezkio-Itsaso sección 01001	17387.0	42595.0	
20038 Gabiria	17007.0	51228.0	
2003801 Gabiria distrito 01	17007.0	51228.0	
2003801001 Gabiria sección 01001	17007.0	51228.0	
20037 Gaintza	14764.0	34091.0	
2003701 Gaintza distrito 01	14764.0	34091.0	
2003701001 Gaintza sección 01001	14764.0	34091.0	
20907 Gaztelu	13014.0	24803.0	
2090701 Gaztelu distrito 01	13014.0	24803.0	
2090701001 Gaztelu sección 01001	13014.0	24803.0	
20039 Getaria	14868.0	36502.0	
2003901 Getaria distrito 01	14868.0	36502.0	
2003901001 Getaria sección 01001	13979.0	33283.0	
2003901002 Getaria sección 01002	15397.0	38514.0	
20040 Hernani	13451.0	28942.0	
2004001 Hernani distrito 01	13451.0	28942.0	
2004001001 Hernani sección 01001	12402.0	24622.0	
2004001002 Hernani sección 01002	13704.0	28155.0	
2004001003 Hernani sección 01003	14047.0	28769.0	
2004001004 Hernani sección 01004	14059.0	30738.0	
2004001005 Hernani sección 01005	14175.0	33014.0	
2004001006 Hernani sección 01006	12308.0	24182.0	
2004001007 Hernani sección 01007	12177.0	26584.0	
2004001008 Hernani sección 01008	11351.0	26130.0	
2004001009 Hernani sección 01009	13221.0	28876.0	
2004001010 Hernani sección 01010	14542.0	31940.0	
2004001011 Hernani sección 01011	12392.0	25793.0	
2004001012 Hernani sección 01012	13673.0	30009.0	
2004001013 Hernani sección 01013	12906.0	26994.0	
2004001014 Hernani sección 01014	12874.0	28367.0	
2004001015 Hernani sección 01015	15425.0	32551.0	
2004001016 Hernani sección 01016	14184.0	31502.0	
20041 Hernialde	14444.0	33455.0	
2004101 Hernialde distrito 01	14444.0	33455.0	
2004101001 Hernialde sección 01001	14444.0	33455.0	
20036 Hondarribia	15783.0	39054.0	
2003601 Hondarribia distrito 01	15783.0	39054.0	
2003601001 Hondarribia sección 01001	14105.0	29330.0	
2003601002 Hondarribia sección 01002	15313.0	37830.0	
2003601003 Hondarribia sección 01003	14567.0	31572.0	
2003601004 Hondarribia sección 01004	14659.0	33588.0	
2003601005 Hondarribia sección 01005	16182.0	38521.0	
2003601006 Hondarribia sección 01006	12341.0	30936.0	
2003601007 Hondarribia sección 01007	17102.0	48115.0	
2003601008 Hondarribia sección 01008	18809.0	46434.0	
2003601009 Hondarribia sección 01009	18655.0	46066.0	
2003601010 Hondarribia sección 01010	10457.0	26012.0	
2003601011 Hondarribia sección 01011	14442.0	41708.0	
2003601012 Hondarribia sección 01012	23048.0	66655.0	
20042 Ibarra	13489.0	28934.0	
2004201 Ibarra distrito 01	13489.0	28934.0	
2004201001 Ibarra sección 01001	13336.0	30239.0	
2004201002 Ibarra sección 01002	12450.0	26225.0	
2004201003 Ibarra sección 01003	15310.0	31079.0	
20043 Idiazabal	16933.0	41754.0	
2004301 Idiazabal distrito 01	16933.0	41754.0	
2004301001 Idiazabal sección 01001	16933.0	41754.0	
20044 Ikaztegieta	15444.0	34176.0	
2004401 Ikaztegieta distrito 01	15444.0	34176.0	
2004401001 Ikaztegieta sección 01001	15444.0	34176.0	
20045 Irun	12485.0	31283.0	
2004501 Irun distrito 01	13753.0	32537.0	
2004501001 Irun sección 01001	14033.0	32891.0	
2004501002 Irun sección 01002	12457.0	28603.0	
2004501003 Irun sección 01003	14352.0	34738.0	
2004501004 Irun sección 01004	13918.0	33456.0	
2004502 Irun distrito 02	12343.0	32448.0	
2004502001 Irun sección 02001	11440.0	27804.0	
2004502002 Irun sección 02002	10423.0	27822.0	
2004502003 Irun sección 02003	12002.0	33350.0	
2004502004 Irun sección 02004	11976.0	32804.0	
2004502005 Irun sección 02005	13887.0	38599.0	
2004502006 Irun sección 02006	14376.0	36281.0	
2004502007 Irun sección 02007	11908.0	30203.0	
2004502008 Irun sección 02008	11143.0	29549.0	
2004502009 Irun sección 02009	13676.0	35677.0	
2004502010 Irun sección 02010	13755.0	35516.0	
2004503 Irun distrito 03	12355.0	30646.0	
2004503001 Irun sección 03001	16367.0	40042.0	
2004503002 Irun sección 03002	9770.0	23840.0	
2004503003 Irun sección 03003	10237.0	24687.0	
2004503004 Irun sección 03004	9311.0	22270.0	
